Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.014,,,,,,,,,0.6,,,,1,,,,0.848,The Americas,Greenland
0.019,45.3%,15,,"$778,518,505",0.065,$481,140,0.011,0.3,0.107,75,70,1.2,0.272,0.656,0.072,0.356,The Americas,Grenada
0.032,40.9%,37,10163,"$47,654,789,735",0.067,$215,344,0.028,0.1,0.134,75,68,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
0.021,35.9%,20,,"$2,576,602,497",0.068,$221,263,0.032,0.3,0.145,69,63,0.7,0.373,0.595,0.033,0.283,The Americas,Guyana
0.026,40.4%,105,3211,"$7,516,834,160",0.085,$62,184,0.057,0.1,0.116,64,61,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
0.026,43.6%,14,4740,"$17,710,325,578",0.084,$187,224,0.02,0.2,0.186,76,71,1,0.362,0.594,0.043,0.523,The Americas,Honduras
0.015,44.3%,7,3066,"$14,433,926,129",0.052,$273,414,0.015,0.4,0.195,76,71,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
0.019,52.7%,6,186171,"$1,170,085,556,896",0.06,$609,347,0.014,0.4,0.049,79,75,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
0.024,66.9%,39,3038,"$9,898,547,558",0.076,$124,207,0.021,0.1,0.105,77,71,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
0.02,43.6%,8,4058,"$33,270,500,000",0.079,$664,482,0.016,0.4,0.069,80,74,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
0.024,35.0%,35,4858,"$25,071,193,102",0.089,$352,387,0.02,0.2,0.174,74,70,1,0.331,0.616,0.053,0.587,The Americas,Paraguay
0.02,36.6%,25,20582,"$170,563,949,736",0.047,$283,309,0.014,0.4,0.187,77,72,1.1,0.296,0.643,0.061,0.773,The Americas,Peru
0.011,63.1%,6,,"$100,351,670,000",,,218,,0.5,,82,75,0.8,0.201,0.666,0.132,0.938,The Americas,Puerto Rico
,,,,,,,,,,,,,,,,,1,The Americas,Sint Maarten (Dutch part)
,52.5%,19,,"$728,148,148",0.058,$820,203,0.008,0.8,0.094,,,1.5,,,,0.318,The Americas,St. Kitts and Nevis
0.016,34.4%,15,,"$1,295,925,926",0.076,$513,92,0.013,0.5,0.1,77,72,1.2,0.248,0.666,0.086,0.185,The Americas,St. Lucia
0.017,,,,,,,,,,,82,76,,,,,,The Americas,St. Martin (French part)
0.017,38.7%,10,,"$677,037,037",0.049,$310,111,0.018,0.4,0.091,74,70,1.2,0.261,0.671,0.068,0.491,The Americas,St. Vincent and the Grenadines
0.018,27.9%,694,,"$4,363,219,094",0.06,$490,199,0.022,0.3,0.118,74,67,1,0.283,0.652,0.065,0.663,The Americas,Suriname
0.015,29.1%,41,20918,"$23,676,348,287",0.053,$935,210,0.02,0.6,0.08,73,66,1.4,0.207,0.708,0.085,0.089,The Americas,Trinidad and Tobago
,,,,,,,,,,,,,,,,,0.907,The Americas,Turks and Caicos Islands
0.013,46.5%,5,2191193,"$15,533,800,000,000",0.177,"$8,467",187,0.006,0.7,0.033,81,76,0.9,0.197,0.669,0.133,0.809,The Americas,United States
0.015,41.9%,7,4430,"$47,236,710,623",0.088,"$1,213",336,0.01,0.5,0.098,80,73,1.4,0.223,0.638,0.139,0.946,The Americas,Uruguay
0.02,62.8%,141,70198,"$316,482,176,579",0.045,$487,864,0.014,0.4,0.172,77,71,1,0.291,0.651,0.058,0.888,The Americas,"Venezuela, RB"
0.011,,,,,,,,,0.4,,83,76,,0.206,0.649,0.145,0.948,The Americas,Virgin Islands (U.S.)
